model_name,model_family,split,horizon,MAE,RMSE,R2,sMAPE,WAPE,MASE,Bias
RandomForest,tabular,validation,8,66.58668996454013,94.8750859932048,0.8129852798057509,65.29411417419068,32.45988330022254,0.6771634363943141,39.36841173494707
Ridge,tabular,test,1,96.93723789764263,118.41778069677032,0.7409977829287961,87.75958822379405,41.4668789249014,0.9887467329881638,41.834687433882145
Ridge,tabular,test,2,95.767679392357,115.71370075923694,0.7455080680259654,81.7797848305386,37.38786531800107,0.976817394209595,32.01767210662321
Ridge,tabular,test,3,87.40916061194675,117.2794828114839,0.7634225737716083,56.65203574486431,30.358959348955633,0.8915616316565357,12.467710749559282
Ridge,tabular,test,4,104.51414989956821,132.2354105257228,0.6859008330706909,62.41903707006462,35.27173133219962,1.0660302119743637,63.74091252755506
Ridge,tabular,test,5,97.1857762346809,131.92204752525072,0.7096347685235158,70.76953328107997,34.35968827819187,0.991281790455227,6.734365087174679
Ridge,tabular,test,6,80.03190729594013,104.25133992620562,0.7977963066294993,78.25996364685216,32.72373872326305,0.8163146442982852,31.602034810383657
Ridge,tabular,test,7,92.4362398147576,122.86985566582788,0.6785318467554498,76.00455118721227,44.263963527941094,0.9428371605043908,52.429812308363395
Ridge,tabular,test,8,81.22206994556547,103.19585645280462,0.7809271379525834,83.29581870631253,42.08818370616401,0.8284541425660629,41.74082204365176
Ridge,tabular,validation,1,66.22749556494166,94.02952774986295,0.8325362744738176,77.34524241910398,29.653064650467837,0.673510554503125,37.042670490470776
Ridge,tabular,validation,2,73.7685970770648,101.58383438423513,0.8065747684593091,75.54962566977039,33.239340440665984,0.7502009293643336,38.954415243434596
Ridge,tabular,validation,3,72.64527158998912,93.9845076849174,0.8315159817642598,68.24875652910346,32.36085355427724,0.738777100556766,30.8179651785737
Ridge,tabular,validation,4,69.66423937237118,91.7196981684417,0.8423962764472033,67.98331440714492,31.822545101845616,0.7084610415732165,32.90187622530176
Ridge,tabular,validation,5,97.79104865407379,115.2994031006399,0.7380444104007098,93.23107265014882,46.586964539954124,0.9945008918518257,57.75244357596616
Ridge,tabular,validation,6,89.47160189292379,116.01449877651892,0.7056483569798573,90.46205864615291,43.59404799780599,0.9098950170038643,74.08389210369258
Ridge,tabular,validation,7,82.734812071501,100.72507859182875,0.7967358719681475,81.74237491955046,39.22042726915754,0.84138421179384,70.28610894741485
Ridge,tabular,validation,8,82.59864094629944,110.18026476198547,0.7477802737293879,78.12952241904657,40.265438142392576,0.8399993988961232,66.4562122047725
SeasonalNaive,tabular,test,1,111.41907384375408,158.45441217849404,0.5362559827315396,64.98397294446963,47.661779365759664,1.1364595035388136,-6.684380523176856
SeasonalNaive,tabular,test,2,117.8910223166863,160.98330446810832,0.5074320757057237,63.740435212320975,46.02485611580449,1.2024725037796127,-13.156328996109092
SeasonalNaive,tabular,test,3,123.84275942012317,163.4031323745182,0.5407491449699582,63.846418257170775,43.013080923970634,1.2631794183178775,-19.10806609954598
SeasonalNaive,tabular,test,4,128.18788071179435,164.89909662697707,0.5115638472900034,65.68470880933185,43.26120905978056,1.3074990685859575,-25.387502092509365
SeasonalNaive,tabular,test,5,125.36219051358879,164.38443511709886,0.5491508729328196,67.59090611558132,44.32136012904642,1.278677410237671,-22.56181189430383
SeasonalNaive,tabular,test,6,112.41074406595946,154.92876794586314,0.5534296063533224,65.32854661819174,45.96291582680616,1.1465744058578022,-9.610365446674507
SeasonalNaive,tabular,test,7,104.30061839250001,150.91035246964245,0.5150629948933547,74.98699520462498,49.94533288804603,1.0638522194445306,-1.1916121211367028
SeasonalNaive,tabular,test,8,88.6922922784657,134.9679362791987,0.6252641202749948,74.72834031755559,45.95915239833979,0.9046494013390586,-16.799938235171012
SeasonalNaive,tabular,validation,1,94.7547610884643,148.4983841202226,0.5823276800287778,76.09500619853237,42.426020077124164,0.9636229052316111,17.872490684974082
SeasonalNaive,tabular,validation,2,93.3868589121564,148.30871758004153,0.5877152402853908,72.23099330993783,42.07911928734105,0.9497118167114698,19.240392861282
SeasonalNaive,tabular,validation,3,93.89448162311045,148.3302334803406,0.5803323136293056,72.93387536651827,41.82661173750742,0.9548741628128378,18.716508524375744
SeasonalNaive,tabular,validation,4,90.34358788909124,146.8863915607614,0.5957925031101671,71.04582977829244,41.26884792204261,0.9187628107621504,23.718138284364148
SeasonalNaive,tabular,validation,5,88.45777528958581,145.88092158870197,0.5806558890288218,71.0704511554994,42.1406590625357,0.899584753691633,25.603950883869583
SeasonalNaive,tabular,validation,6,81.55427430902557,130.07179489655297,0.6299944873011434,70.0058824739377,39.73641773966136,0.8293785540797107,32.50745186442981
SeasonalNaive,tabular,validation,7,86.97055453117541,133.51425527048744,0.64285811480942,70.93798116610607,41.228380450062474,0.8844602367652254,27.09117164228
SeasonalNaive,tabular,validation,8,90.7164949064677,140.12677478927978,0.5920436671642577,72.13608698982385,44.22275442190185,0.9225551451983068,30.83711201757231
VanillaLSTM,sequence,test,1,79.9471075269911,105.11515978928144,0.7959200431014667,60.28234825212525,34.199004013183824,0.815449698109133,18.515814463297527
VanillaLSTM,sequence,test,2,83.23383670383029,108.3690622877915,0.7767892627884243,50.17437927603502,32.4946314640342,0.8489738917657346,23.562730577256943
VanillaLSTM,sequence,test,3,89.49555418226454,113.09734985064117,0.7799942291412039,40.08358444065604,31.083605576901054,0.9128425642591078,13.584790971544054
VanillaLSTM,sequence,test,4,85.3609848022461,109.22056945333816,0.7857207491271861,38.25506660903195,28.80786667733463,0.870670515050085,7.414715237087673
VanillaLSTM,sequence,test,5,84.55026457044814,112.27430998373524,0.7896848122748334,51.05292335198638,29.89244737386711,0.8624012781918607,14.683211008707682
VanillaLSTM,sequence,test,6,76.9856800503201,104.11293790720131,0.7983328307967155,39.5862026326506,31.478185907380535,0.7852435378548903,15.721231672498915
VanillaLSTM,sequence,test,7,76.75982411702473,106.87632048921319,0.7567738553648182,56.69792511838156,36.75716401303182,0.7829398378422329,29.319722493489582
VanillaLSTM,sequence,test,8,66.24562793307834,92.13901376511632,0.8253569962177243,74.30080586500291,34.32759264602205,0.6756964569461239,16.186573028564453
VanillaLSTM,sequence,validation,1,60.61711502075195,88.10610434332885,0.8529705941604144,68.25935314055185,27.141042365153016,0.6164549391720958,21.294470469156902
VanillaLSTM,sequence,validation,2,63.9576358795166,91.68612317164265,0.8424308807968433,71.15810415034119,28.81862679796336,0.6504268723808586,24.279391606648762
VanillaLSTM,sequence,validation,3,65.31373532613118,93.60264153408254,0.8328823394872762,70.86873566154453,29.094918474377625,0.6642179312523986,24.70125389099121
VanillaLSTM,sequence,validation,4,64.7727820078532,92.04483991192221,0.8412769131048321,76.20584878481293,29.5881334026484,0.6587166244878019,25.02964719136556
VanillaLSTM,sequence,validation,5,60.09331703186035,88.58722238528249,0.845362188947085,56.76401690370586,28.628032238253052,0.611128096129993,29.14039675394694
VanillaLSTM,sequence,validation,6,60.733283360799156,82.55228188025663,0.8509609526805348,74.0854842126779,29.591620999794277,0.6176363307142866,37.6284605662028
VanillaLSTM,sequence,validation,7,63.75351587931315,85.82749592162027,0.8524163087565206,77.23792982362697,30.222346896426316,0.6483510430995384,35.29937744140625
VanillaLSTM,sequence,validation,8,66.98766390482585,92.3479775858318,0.8228153172163978,86.22663429779897,32.65535197348116,0.6812412016572074,37.032191594441734
XGBoost,tabular,test,1,84.67961317306441,113.61464309823728,0.7615824265020019,62.32751933872205,36.223430159653226,0.8637206164670906,23.12889739809435
XGBoost,tabular,test,2,78.91146709849613,110.30205312347795,0.7687553762884083,57.586075269233525,30.807171298753484,0.8048863056251621,35.16272455119345
XGBoost,tabular,test,3,94.85201764207972,124.77434008885906,0.7322189860104243,64.83540486640707,32.944013277353754,0.9674777680376088,45.239294217738845
XGBoost,tabular,test,4,76.8100883803873,102.36565454410642,0.811773925791647,48.83820614798295,25.922086182195713,0.7834525265392047,0.3251389549298346
XGBoost,tabular,test,5,110.77498899535324,150.79721649501377,0.6206007253849326,70.59820929484701,39.164106501649016,1.1298899250833603,27.381166578027738
XGBoost,tabular,test,6,83.7141440577642,118.340714386035,0.739448147042242,68.493264814203,34.22934514678056,0.8538729618994824,19.297502473815737
XGBoost,tabular,test,7,83.65705351185943,119.56863647263103,0.6955739501064726,85.12840132524133,40.05996752923709,0.853290646042624,55.66468492672722
XGBoost,tabular,test,8,60.59997906913033,92.61475776290104,0.8235488663613758,77.09206637776548,31.402093708774103,0.6181116011065014,27.39468535099941
XGBoost,tabular,validation,1,70.58376430997147,109.93952757965975,0.7710714425671316,78.75645848167649,31.603564478813492,0.7178122898020634,31.819641102038673
XGBoost,tabular,validation,2,56.36712694124335,82.05459483531217,0.873796984289499,66.2587176818349,25.398424211658767,0.5732340412105433,13.70150122896993
XGBoost,tabular,validation,3,80.10063005792777,121.21085347479863,0.7197606039204067,68.33316655188956,35.681947388674175,0.8145954985337386,34.89754123529804
XGBoost,tabular,validation,4,73.05939063879983,104.14417758078976,0.7968058363052746,73.19569581423869,33.37344632859989,0.7429885469932587,38.879795980680285
XGBoost,tabular,validation,5,86.14957446823321,141.58384350679668,0.6049964967633273,74.48821030058403,41.04104850210669,0.8761111555760386,48.67377835741049
XGBoost,tabular,validation,6,80.2162214285808,121.18393304019153,0.6788321864517757,72.22586094986848,39.08446627953751,0.8157710224982218,59.07340061652642
XGBoost,tabular,validation,7,64.81639276673803,96.29864019731737,0.8142085087007589,82.8801950993249,30.72620284868773,0.6591601307105313,35.6815479523917
XGBoost,tabular,validation,8,94.78064125691542,136.5349350701843,0.6126897389037265,81.91772836058243,46.203956916286394,0.963886097527431,79.01748629518971
